"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Igfbp5",88771.891930573,2.40054162220641,0.0824146487007706,29.1276085022488,1.60542052586351e-186,3.44660852323954e-183
"C530043A13Rik",302.267408274788,2.282419649691,0.216085518965215,10.5625756904998,4.4430036486058e-26,7.485365339826e-25
"Catip",1379.64836344124,2.37392392325142,0.243461917125048,9.75069921113009,1.83202050270392e-22,2.54686439543335e-21
"Plcd4",52.2393328246579,-1.68138625993512,0.387259284279251,-4.34175842437048,1.41346897781594e-05,5.08050987768907e-05
"Stk36",1595.56436210662,1.69313287239826,0.107975465970303,15.6807183667438,2.04923445340797e-55,1.06930192242413e-53
"Cfap65",4809.29709470354,2.87319363231198,0.224695208678032,12.78707120288,1.93634554530134e-37,5.18705897589813e-36
"Scg2",33.2496546133453,-1.69993818873478,0.754118057080067,-2.25420698095589,0.0241831498300254,0.0460582261965772
"Ccl20",1939.09221658834,-1.78963352556315,0.109607506085339,-16.3276548247504,6.27504966427507e-60,3.78720668091268e-58
"Daw1",192.230980512211,2.3302182779931,0.286542487657521,8.13219113522254,4.21599361480667e-16,4.04326432950317e-15
"Pid1",184.775169756357,-2.03176344577617,0.22098860400115,-9.19397384747311,3.78590700647742e-20,4.68268399122162e-19
"Fbxo36",1500.59802981254,1.96132892227333,0.135384379936871,14.4871138250062,1.46156201064505e-47,5.78009313051942e-46
"Efhd1",45.3137795278699,3.24623785082105,0.538466803033233,6.02866849457514,1.65315987357222e-09,9.50408820965698e-09
"Gm29538",303.925895219711,2.41212535176947,0.212322471513883,11.3606691490107,6.56399203795226e-30,1.28777640138834e-28
"Iqca",1151.31911876668,3.05429954683433,0.240818100800876,12.6830148426418,7.34513215941117e-37,1.91636538353526e-35
"Rab17",428.942938141091,2.01681601868436,0.173489555467347,11.6249996332715,3.07594697502359e-31,6.41128032464002e-30
"1700020N18Rik",72.1211061936002,2.04713556266378,0.365769373823209,5.59679325052852,2.18352838696755e-08,1.10708719970811e-07
"Ankmy1",414.920056597724,3.69803398909223,0.232146630326568,15.9297336510553,3.94031926036436e-57,2.1611356877648e-55
"Crocc2",4886.73411527781,1.90538267697209,0.100626712402939,18.9351577873514,5.85400225879407e-80,6.81968573218274e-78
"Sned1",1363.25772344747,1.62762874671532,0.108442732320569,15.0091086040129,6.40020329583815e-51,2.86256711695999e-49
"Ano7",30.9039540505741,-1.7898769906105,0.598867607500273,-2.98876908384077,0.00280103736035538,0.00666360447228442
"Serpinb3a",35.6754536065752,-2.47622152061894,0.556971227110883,-4.4458697327393,8.75369836936368e-06,3.24415731429833e-05
"Gm15391",21.2555310326036,2.00962240082668,0.610100859939452,3.29391832200683,0.000988012037169439,0.00259804810053934
"Serpinb7",282.121744896823,2.21846885646203,0.260637310355821,8.5117086783676,1.71388742440035e-17,1.8202332306635e-16
"Tfcp2l1",2677.78249615006,1.59956729485286,0.0976427758894979,16.3818293804253,2.57869217101033e-60,1.58173820187523e-58
"Cfap221",259.037485509977,2.58036593443213,0.203009886553102,12.7105432067575,5.16742350098055e-37,1.35525375868649e-35
